INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",287429,59913,57410,58413,56985,51159,3549,21,20,20,20,18,1
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",985,155,120,240,250,225,*,16,12,24,25,23,*
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1660,10,175,335,350,790,*,1,11,20,21,48,*
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2925,530,780,735,440,270,165,18,27,25,15,9,6
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1560,475,540,255,205,80,15,30,35,16,13,5,1
I00743,R1H,"BARTS HEALTH NHS TRUST",3685,1430,1205,420,300,240,90,39,33,11,8,7,2
I00743,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2120,330,635,425,350,340,45,16,30,20,17,16,2
I00743,RC1,"BEDFORD HOSPITAL NHS TRUST",1290,120,340,170,290,370,*,9,26,13,22,29,*
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2325,675,565,500,360,215,10,29,24,22,15,9,0
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1735,740,320,205,275,185,10,43,18,12,16,11,1
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1885,850,445,345,155,85,10,45,24,18,8,5,1
I00743,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2285,250,330,445,615,555,85,11,14,19,27,24,4
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1580,50,120,220,360,825,*,3,8,14,23,52,*
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2220,495,510,500,445,260,10,22,23,23,20,12,0
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2180,50,225,495,665,735,15,2,10,23,31,34,1
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1560,185,500,450,220,140,65,12,32,29,14,9,4
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1795,285,440,335,395,295,40,16,25,19,22,16,2
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1505,280,165,175,240,405,240,19,11,12,16,27,16
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3040,790,955,425,535,320,*,26,31,14,18,11,*
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1290,265,440,225,165,175,15,21,34,17,13,14,1
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1485,200,320,255,380,330,*,13,22,17,26,22,*
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2770,860,675,560,525,145,*,31,24,20,19,5,*
I00743,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1110,95,185,380,335,95,15,9,17,34,30,9,1
I00743,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2180,45,270,650,505,695,15,2,12,30,23,32,1
I00743,RJN,"EAST CHESHIRE NHS TRUST",910,40,155,140,235,335,*,4,17,15,26,37,*
I00743,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4045,690,875,1050,1065,345,20,17,22,26,26,9,0
I00743,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2630,990,665,335,435,200,*,38,25,13,17,8,*
I00743,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4390,695,775,1125,1000,710,80,16,18,26,23,16,2
I00743,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2530,345,550,655,695,280,*,14,22,26,27,11,*
I00743,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1865,50,260,290,400,860,*,3,14,16,21,46,*
I00743,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3600,60,415,620,655,1795,50,2,12,17,18,50,1
I00743,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1395,405,400,225,215,145,*,29,29,16,15,10,*
I00743,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1120,170,315,295,215,125,*,15,28,26,19,11,*
I00743,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3000,245,360,830,720,835,10,8,12,28,24,28,0
I00743,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1770,175,240,315,585,455,*,10,14,18,33,26,*
I00743,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1460,465,465,235,135,115,50,32,32,16,9,8,3
I00743,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2120,*,250,285,540,1025,10,*,12,13,25,48,0
I00743,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",950,25,45,155,315,410,*,3,5,16,33,43,*
I00743,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",540,335,170,25,*,*,*,62,31,5,*,*,*
I00743,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3340,1060,690,515,545,525,*,32,21,15,16,16,*
I00743,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2125,605,600,490,255,135,40,28,28,23,12,6,2
I00743,R1F,"ISLE OF WIGHT NHS TRUST",870,115,315,275,135,25,*,13,36,32,16,3,*
I00743,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1695,375,470,495,260,90,*,22,28,29,15,5,*
I00743,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1680,280,325,400,365,265,40,17,19,24,22,16,2
I00743,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3135,635,605,450,705,645,95,20,19,14,22,21,3
I00743,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1135,20,105,190,315,490,10,2,9,17,28,43,1
I00743,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2315,400,390,360,625,525,10,17,17,16,27,23,0
I00743,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4190,1425,635,685,855,560,30,34,15,16,20,13,1
I00743,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2310,475,750,450,365,255,15,21,32,19,16,11,1
I00743,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4050,2375,555,470,435,180,40,59,14,12,11,4,1
I00743,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2555,335,695,800,440,260,20,13,27,31,17,10,1
I00743,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1760,325,425,290,275,425,20,18,24,16,16,24,1
I00743,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2320,85,195,530,585,920,*,4,8,23,25,40,*
I00743,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3305,1185,610,450,480,550,35,36,18,14,15,17,1
I00743,RPA,"MEDWAY NHS FOUNDATION TRUST",1900,420,530,315,360,275,*,22,28,17,19,14,*
I00743,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1475,225,255,315,270,400,10,15,17,21,18,27,1
I00743,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2050,70,260,615,630,470,10,3,13,30,31,23,0
I00743,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3005,920,760,495,575,235,20,31,25,16,19,8,1
I00743,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1345,155,170,235,480,295,15,12,13,17,36,22,1
I00743,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3520,360,605,1200,790,535,25,10,17,34,22,15,1
I00743,RVJ,"NORTH BRISTOL NHS TRUST",2265,260,445,390,495,660,15,11,20,17,22,29,1
I00743,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",1875,345,435,495,350,200,45,18,23,26,19,11,2
I00743,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1270,460,370,155,165,55,70,36,29,12,13,4,6
I00743,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2070,820,430,305,230,285,*,40,21,15,11,14,*
I00743,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2885,330,420,880,660,560,35,11,15,31,23,19,1
I00743,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1970,325,335,280,545,475,10,16,17,14,28,24,1
I00743,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1015,120,390,285,165,50,*,12,38,28,16,5,*
I00743,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2480,630,510,510,510,320,*,25,21,21,21,13,*
I00743,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3170,760,650,680,575,500,*,24,21,21,18,16,*
I00743,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4430,1195,740,760,845,865,25,27,17,17,19,20,1
I00743,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3220,175,215,515,970,1315,30,5,7,16,30,41,1
I00743,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3990,1745,870,540,485,325,30,44,22,14,12,8,1
I00743,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1550,70,205,405,455,415,*,5,13,26,29,27,*
I00743,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3035,385,550,490,670,880,65,13,18,16,22,29,2
I00743,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2120,65,205,360,345,1025,110,3,10,17,16,48,5
I00743,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2265,345,985,665,230,30,10,15,43,29,10,1,0
I00743,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2280,105,495,625,640,410,*,5,22,27,28,18,*
I00743,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2645,300,550,800,635,310,50,11,21,30,24,12,2
I00743,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1210,*,45,150,325,680,*,*,4,12,27,56,*
I00743,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1990,120,225,480,605,545,10,6,11,24,30,27,1
I00743,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1705,695,315,310,195,175,10,41,18,18,11,10,1
I00743,RNZ,"SALISBURY NHS FOUNDATION TRUST",1040,45,80,320,285,285,20,4,8,31,27,27,2
I00743,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2025,1205,400,280,55,10,75,60,20,14,3,0,4
I00743,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3570,1375,540,580,580,480,15,39,15,16,16,13,0
I00743,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1965,555,560,380,320,145,*,28,28,19,16,7,*
I00743,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",2765,305,510,810,515,335,285,11,18,29,19,12,10
I00743,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2650,940,370,435,580,325,*,35,14,16,22,12,*
I00743,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",3170,1465,800,375,320,200,10,46,25,12,10,6,0
I00743,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1220,*,90,290,395,430,10,*,7,24,32,35,1
I00743,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2250,395,400,515,475,465,*,18,18,23,21,21,*
I00743,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1325,205,210,375,270,245,20,15,16,28,20,18,2
I00743,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1975,140,445,555,365,425,40,7,23,28,18,22,2
I00743,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",2385,1135,370,420,285,170,*,48,16,18,12,7,*
I00743,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1760,300,365,290,365,435,*,17,21,16,21,25,*
I00743,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1940,15,215,465,515,710,20,1,11,24,27,37,1
I00743,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1305,495,370,275,105,55,*,38,28,21,8,4,*
I00743,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1830,190,410,600,395,225,*,10,22,33,22,12,*
I00743,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2325,655,445,405,450,365,*,28,19,17,19,16,*
I00743,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",1070,45,405,235,185,190,*,4,38,22,17,18,*
I00743,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",2525,850,460,365,370,425,55,34,18,14,15,17,2
