INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,"ENGLAND",5.0322,19
I01966,RCF,"AIREDALE NHS FOUNDATION TRUST",4.1394,13
I01966,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",5.1586,11
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.6709,19
I01966,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5.0110,19
I01966,R1H,"BARTS HEALTH NHS TRUST",5.4934,19
I01966,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.2881,19
I01966,RC1,"BEDFORD HOSPITAL NHS TRUST",5.5958,19
I01966,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",5.8085,13
I01966,RMC,"BOLTON NHS FOUNDATION TRUST",4.5494,19
I01966,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",4.1562,19
I01966,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",4.9772,19
I01966,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",3.7251,19
I01966,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",5.0576,19
I01966,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.5475,19
I01966,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4.9811,19
I01966,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5.5169,19
I01966,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",3.0956,19
I01966,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",4.1751,13
I01966,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",4.9366,19
I01966,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",3.7332,19
I01966,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",5.1616,19
I01966,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3.4836,19
I01966,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",4.5823,19
I01966,RJN,"EAST CHESHIRE NHS TRUST",5.2045,12
I01966,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4.2634,19
I01966,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",5.1374,13
I01966,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",5.6078,19
I01966,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",6.0033,19
I01966,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",5.1273,19
I01966,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3.9969,19
I01966,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",5.9905,13
