INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",287429,5052,103524,104118,2,36,36
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",985,0,235,235,0,24,24
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1660,45,660,665,3,40,40
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2925,0,1120,1120,0,38,38
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1560,0,440,440,0,28,28
I00721,R1H,"BARTS HEALTH NHS TRUST",3685,380,1380,1440,10,37,39
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2120,325,625,705,15,29,33
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1290,0,330,330,0,26,26
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2325,*,645,645,*,28,28
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1735,0,500,500,0,29,29
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1885,0,435,435,0,23,23
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2285,0,980,980,0,43,43
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1580,180,830,860,11,53,54
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2220,0,805,805,0,36,36
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2180,0,950,950,0,44,44
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1560,10,870,870,1,56,56
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1795,0,565,565,0,31,31
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1505,0,525,525,0,35,35
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3040,0,1270,1270,0,42,42
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1290,0,640,640,0,50,50
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1485,0,750,750,0,51,51
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2770,0,1390,1390,0,50,50
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1110,0,390,390,0,35,35
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2180,40,790,790,2,36,36
I00721,RJN,"EAST CHESHIRE NHS TRUST",910,0,215,215,0,24,24
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4045,0,1015,1015,0,25,25
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2630,0,860,860,0,33,33
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4390,0,1435,1435,0,33,33
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2530,0,905,905,0,36,36
I00721,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1865,0,865,865,0,46,46
I00721,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3600,*,1555,1555,*,43,43
I00721,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1395,175,485,490,13,35,35
I00721,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1120,0,270,270,0,24,24
I00721,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3000,0,1040,1040,0,35,35
I00721,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1770,50,645,655,3,36,37
I00721,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1460,*,830,830,*,57,57
I00721,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2120,145,860,890,7,41,42
I00721,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",950,0,295,295,0,31,31
I00721,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",540,0,260,260,0,48,48
I00721,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3340,135,1105,1155,4,33,35
I00721,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2125,0,1225,1225,0,58,58
I00721,R1F,"ISLE OF WIGHT NHS TRUST",870,0,460,460,0,53,53
I00721,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1695,0,465,465,0,27,27
I00721,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1680,0,535,535,0,32,32
I00721,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3135,0,1595,1595,0,51,51
I00721,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1135,0,545,545,0,48,48
I00721,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2315,0,1220,1220,0,53,53
I00721,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4190,0,1405,1405,0,34,34
I00721,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2310,0,585,585,0,25,25
I00721,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4050,340,1855,1910,8,46,47
I00721,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2555,0,885,885,0,35,35
I00721,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1760,0,725,725,0,41,41
I00721,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2320,0,975,975,0,42,42
I00721,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3305,0,1445,1445,0,44,44
I00721,RPA,"MEDWAY NHS FOUNDATION TRUST",1900,0,740,740,0,39,39
I00721,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1475,0,385,385,0,26,26
I00721,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2050,*,695,695,*,34,34
I00721,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",3005,*,820,820,*,27,27
I00721,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1345,0,635,635,0,47,47
I00721,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3520,*,1735,1735,*,49,49
I00721,RVJ,"NORTH BRISTOL NHS TRUST",2265,0,925,925,0,41,41
I00721,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",1875,0,650,650,0,35,35
I00721,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1270,0,375,375,0,30,30
I00721,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2070,0,840,840,0,41,41
I00721,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2885,*,1035,1035,*,36,36
I00721,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1970,0,810,810,0,41,41
I00721,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1015,0,200,200,0,20,20
I00721,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2480,0,470,470,0,19,19
I00721,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3170,610,1240,1295,19,39,41
I00721,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4430,340,1685,1690,8,38,38
I00721,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3220,335,1590,1595,10,49,50
I00721,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3990,10,1185,1185,0,30,30
I00721,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1550,240,450,455,15,29,29
I00721,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3035,0,1190,1190,0,39,39
I00721,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2120,0,1100,1100,0,52,52
I00721,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2265,*,765,765,*,34,34
I00721,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",2280,0,750,750,0,33,33
I00721,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2645,0,930,930,0,35,35
I00721,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1210,105,710,710,9,59,59
I00721,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1990,0,560,560,0,28,28
I00721,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",1705,0,910,910,0,53,53
