INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,"ENGLAND",88588,9391321,0.9
I02038,RCF,"AIREDALE NHS FOUNDATION TRUST",0,33345,0.0
I02038,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",275,44750,0.6
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1145,84610,1.4
I02038,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0,48195,0.0
I02038,R1H,"BARTS HEALTH NHS TRUST",275,176310,0.2
I02038,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",255,78410,0.3
I02038,RC1,"BEDFORD HOSPITAL NHS TRUST",0,36735,0.0
I02038,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1155,55575,2.1
I02038,RMC,"BOLTON NHS FOUNDATION TRUST",0,60630,0.0
I02038,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",495,97660,0.5
I02038,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",655,69970,0.9
I02038,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",840,64295,1.3
I02038,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",425,71110,0.6
I02038,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",325,76655,0.4
I02038,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0,96335,0.0
I02038,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0,51665,0.0
I02038,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",625,48820,1.3
I02038,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1680,82365,2.0
I02038,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1795,36650,4.9
I02038,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",10,56655,0.0
I02038,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1380,73990,1.9
I02038,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",0,29250,0.0
I02038,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,68020,0.0
I02038,RJN,"EAST CHESHIRE NHS TRUST",0,20015,0.0
I02038,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",2855,109695,2.6
I02038,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2285,88030,2.6
I02038,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1215,110730,1.1
I02038,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0,64095,0.0
I02038,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",495,64370,0.8
I02038,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",475,128090,0.4
I02038,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",0,32895,0.0
I02038,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",0,24325,0.0
I02038,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1210,92730,1.3
I02038,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0,63265,0.0
I02038,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",510,96565,0.5
I02038,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",765,67315,1.1
I02038,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",270,28125,1.0
I02038,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,45575,*
I02038,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1570,85540,1.8
I02038,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",1210,111190,1.1
I02038,R1F,"ISLE OF WIGHT NHS TRUST",0,18065,0.0
I02038,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",225,34260,0.7
I02038,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0,52465,0.0
I02038,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0,114610,0.0
I02038,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",0,60610,0.0
I02038,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",1350,79830,1.7
I02038,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1085,121605,0.9
I02038,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",25,92510,0.0
I02038,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",715,116285,0.6
I02038,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",1945,106520,1.8
I02038,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,83305,0.0
I02038,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",610,77325,0.8
I02038,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",430,180625,0.2
I02038,RPA,"MEDWAY NHS FOUNDATION TRUST",0,55580,0.0
I02038,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",30,52000,0.1
I02038,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",0,55445,0.0
I02038,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2305,94020,2.5
I02038,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,46660,0.0
I02038,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,90465,*
I02038,RVJ,"NORTH BRISTOL NHS TRUST",*,91685,*
I02038,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",520,48145,1.1
I02038,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0,49105,0.0
I02038,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",0,59770,0.0
I02038,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",810,82635,1.0
I02038,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",0,76385,0.0
I02038,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",120,30030,0.4
I02038,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",295,59430,0.5
I02038,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",12185,80515,15.1
I02038,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",3995,139345,2.9
I02038,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1155,120805,1.0
I02038,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",1200,128710,0.9
I02038,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",0,51240,0.0
I02038,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",0,83545,0.0
I02038,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",*,69065,*
I02038,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",1050,71230,1.5
I02038,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",1260,62535,2.0
I02038,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",180,111975,0.2
I02038,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0,49775,0.0
I02038,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",120,62490,0.2
I02038,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",0,49725,0.0
I02038,RNZ,"SALISBURY NHS FOUNDATION TRUST",75,37625,0.2
I02038,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",2315,71010,3.3
I02038,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",2805,115350,2.4
I02038,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1440,59375,2.4
I02038,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",605,73815,0.8
I02038,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1265,86330,1.5
I02038,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",*,80680,*
I02038,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",465,36745,1.3
I02038,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,58370,0.0
I02038,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",75,39175,0.2
I02038,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,89180,*
I02038,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",335,79855,0.4
I02038,RWJ,"STOCKPORT NHS FOUNDATION TRUST",0,55195,0.0
I02038,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",20,54290,0.0
I02038,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",0,33745,0.0
I02038,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",30,58710,0.1
I02038,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",0,63060,0.0
I02038,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",20,41235,0.0
I02038,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",5155,109235,4.7
I02038,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0,56525,0.0
I02038,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",0,50345,0.0
I02038,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",0,36360,0.0
I02038,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",90,51300,0.2
I02038,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",885,70980,1.2
I02038,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",0,45835,0.0
I02038,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",845,82385,1.0
I02038,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",475,93455,0.5
I02038,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",1090,97695,1.1
I02038,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",4445,269955,1.6
I02038,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1045,83635,1.2
