INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",RCF22,"AIREDALE GENERAL HOSPITAL",0.9035,2,33345,985,1090.0000,0.9091,1.0971,0.8475,1.1799,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK02,"ASHFORD HOSPITAL",*,*,1490,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK48,"RUNNYMEDE HOSPITAL",*,*,80,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK01,"ST PETER'S HOSPITAL",0.9822,2,43120,1660,1690.0000,0.9265,1.0775,0.8508,1.1754,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK49,"WOKING NUFFIELD HOSPITAL",*,*,55,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",.,"NOT PROVIDED",*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,"KING GEORGE HOSPITAL",1.0049,2,18300,715,715.0000,0.8883,1.1212,0.8429,1.1864,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,"QUEEN'S HOSPITAL",1.0018,2,66125,2210,2205.0000,0.9355,1.0676,0.8522,1.1735,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4BM,"NOT PROVIDED",*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4NH,"NOT PROVIDED",*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4RH,"NOT PROVIDED",*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4TC,"NOT PROVIDED",*,*,175,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",.,"NOT PROVIDED",*,*,*,*,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",RFFAA,"BARNSLEY HOSPITAL",0.9946,2,48195,1560,1570.0000,0.9238,1.0805,0.8503,1.1760,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S75 2EP
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H41,"BARKING BIRTH CENTRE",*,*,410,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H65,"BARTS AND THE LONDON OUTREACH CLINICS",*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H90,"BLT BIRTH CENTRE",*,*,585,0,*,*,*,*,*,DENTISTS,ONE,TRUST,E14 8JH
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H86,"BLT PRIVATE HOSPITALS",*,*,55,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H11,"GATEWAY SURGICAL CENTRE",*,*,935,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H13,"MILE END HOSPITAL",*,*,35,0,*,*,*,*,*,MENTAL HEALTH - COMMUNITY & RESIDENTIAL - NHS,ONE,TRUST,E1 4DG
I00699,R1H,"BARTS HEALTH NHS TRUST",R1HNH,"NEWHAM GENERAL HOSPITAL",0.8892,2,38470,640,720.0000,0.8888,1.1205,0.8430,1.1863,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,"BARTS HEALTH NHS TRUST",R1HM0,"ST BARTHOLOMEW'S HOSPITAL",0.9459,2,14710,505,535.0000,0.8715,1.1412,0.8384,1.1927,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,EC1A 7BE
I00699,R1H,"BARTS HEALTH NHS TRUST",R1H12,"THE ROYAL LONDON HOSPITAL",0.8606,2,68755,1185,1375.0000,0.9187,1.0862,0.8494,1.1773,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,"BARTS HEALTH NHS TRUST",R1HKH,"WHIPPS CROSS UNIVERSITY HOSPITAL",1.0103,2,52355,1355,1345.0000,0.9178,1.0872,0.8492,1.1775,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E11 1NR
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",RDDH0,"BASILDON UNIVERSITY HOSPITAL",1.0231,2,73800,1985,1940.0000,0.9313,1.0722,0.8515,1.1743,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,SS16 5NL
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",RDDH6,"BRENTWOOD COMMUNITY HOSPITAL",*,*,*,0,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,CM15 8DR
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",RDDH1,"ORSETT HOSPITAL",*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,RM16 3EU
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",RDDH8,"THE ESSEX CARDIOTHORACIC CENTRE",1.0534,2,4595,135,130.0000,0.7508,1.3017,0.7937,1.2599,UNDETERMINED,ONE,TRUST,SS16 5NL
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",RC110,"BEDFORD HOSPITAL SOUTH WING",1.1331,2,36735,1290,1140.0000,0.9110,1.0949,0.8479,1.1794,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,MK42 9DJ
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",RXL01,"BLACKPOOL VICTORIA HOSPITAL",1.1135,2,55485,2315,2080.0000,0.9336,1.0696,0.8519,1.1738,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY3 8NR
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",RXL06,"CLIFTON HOSPITAL",*,*,85,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY8 1PB
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",RXL04,"FLEETWOOD HOSPITAL",*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS SPECIALIST,ONE,TRUST,FY7 6BE
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",RMCE5,"INGLESIDE BIRTH & COMMUNITY CENTRE",*,*,340,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,M6 7WR
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",RMCD6,"LABURNUM LODGE HOME FOR THE ELDERLY",*,*,35,0,*,*,*,*,*,RESIDENTIAL SOCIAL CARE,ONE,TRUST,BL2 6PP
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",RMC01,"ROYAL BOLTON HOSPITAL",1.1597,2,60255,1735,1495.0000,0.9220,1.0825,0.8500,1.1765,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,BL4 0JR
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",RAE01,"BRADFORD ROYAL INFIRMARY",0.8931,2,64975,1430,1600.0000,0.9245,1.0797,0.8504,1.1759,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",RAE02,"BRADFORD ROYAL INFIRMARY WOMEN'S UNIT",1.6112,1,25010,35,20.0000,0.4591,1.8723,0.6352,1.5742,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",RAE05,"ST LUKES HOSPITAL",1.2743,2,435,50,40.0000,0.5816,1.5914,0.7074,1.4136,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD5 0NA
