INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1449.6621,1695.176,1375.6621,1827.5747,1834.2102,1825.5747,449.9126,36,0,607.965,36,0,288.2202,36,0,87.1881,12.7861,0.0258,1163795,0.744,0.7442,0.0547,0.872
I00699,2,405857.9746,406266.3568,405783.9746,452921.0275,452932.0648,452919.0275,47135.0529,36,0,41913.4039,36,0,31471.7007,36,0,71.9012,28.0124,0.0864,33081962112,0.4389,0.4393,0.1377,0.7194
I00699,3,6037.2097,6323.5776,5963.2097,7257.9487,7265.6883,7255.9487,1292.739,36,0,1256.3265,36,0,642.302,36,0,81.8206,18.1327,0.0466,15045520,0.6369,0.6372,0.0665,0.8184
I00699,4,3269.6939,3540.7422,3195.6939,3854.3348,3861.6604,3852.3348,656.6409,36,0,645.2123,36,0,364.8028,36,0,82.3691,17.5994,0.0315,4971120,0.6477,0.6479,0.0511,0.8238
I00699,5,1639.8704,1759.1715,1603.8704,1673.5347,1680.1626,1671.5347,67.6643,17,0,69.6446,17,0,66.2139,17,0,66.8766,32.7055,0.4179,1035456,0.3417,0.3431,0.0227,0.6709
I00699,6,10864.2637,11267.4345,10790.2637,16785.2318,16796.1284,16783.2318,5992.9682,36,0,20398.1952,36,0,3217.938,36,0,96.4066,3.5816,0.0118,492723042,0.9283,0.9284,0.0057,0.9641
I00699,7,12935.8667,13254.0189,12861.8667,17653.5859,17662.1846,17651.5859,4789.7192,36,0,5441.4855,36,0,3082.2581,36,0,87.3785,12.5999,0.0216,87149232,0.7478,0.7479,0.0811,0.8739
I00699,8,21045.0627,21322.8074,20977.0627,25559.2978,25567.4667,25557.2978,4580.235,33,0,3993.8525,33,0,3061.1969,33,0,78.8112,21.1434,0.0454,105774334,0.5767,0.5769,0.1794,0.7883
I00699,9,13470.4126,13725.7693,13404.4126,17046.1883,17053.9264,17044.1883,3639.7758,32,0,3127.4668,32,0,2182.8011,32,0,80.6979,19.2583,0.0438,46265908,0.6144,0.6147,0.1979,0.8072
I00699,10,31759.9935,32080.5895,31689.9935,44178.0044,44187.1643,44176.0044,12486.0109,34,0,12164.1204,34,0,7002.3228,34,0,86.889,13.0835,0.0274,425136096,0.7381,0.7383,0.1271,0.869
I00699,11,16934.018,17222.5791,16868.018,25116.7229,25125.4671,25114.7229,8246.7049,32,0,8870.4965,32,0,4574.3469,32,0,89.348,10.6299,0.022,152382240,0.7872,0.7874,0.1116,0.8936
I00699,12,15331.0686,15626.4461,15257.0686,20717.1717,20725.1549,20715.1717,5458.1031,36,0,4845.4907,36,0,2994.1778,36,0,83.781,16.1782,0.0408,70595014,0.676,0.6763,0.2035,0.838
I00699,13,24638.6473,24923.712,24568.6473,30126.5991,30134.7438,30124.5991,5555.9518,34,0,4683.2376,34,0,3607.8713,34,0,78.0471,21.9016,0.0513,130260028,0.5615,0.5617,0.2257,0.7807
I00699,14,10253.5874,10534.3519,10179.5874,13028.1455,13035.7338,13026.1455,2846.5581,36,0,2483.628,36,0,1739.816,36,0,81.9988,17.9648,0.0364,29202012,0.6403,0.6406,0.1757,0.8202
I00699,15,68789.4835,69133.0566,68715.4835,89788.314,89797.5998,89786.314,21070.8305,36,0,17143.8715,36,0,10570.0538,36,0,80.543,19.4049,0.0521,1193540320,0.6114,0.6117,0.2299,0.8057
I00699,16,4070.7783,4307.1537,3998.7783,5047.3678,5053.9338,5045.3678,1046.5895,35,0,903.2136,35,0,598.2876,35,0,80.3775,19.5701,0.0524,4174721,0.6081,0.6084,0.1842,0.804
I00699,17,5123.0439,5424.9577,5049.0439,8754.0129,8762.1727,8752.0129,3702.969,36,0,5115.4466,36,0,1883.5131,36,0,93.7056,6.2797,0.0146,25914955,0.8743,0.8744,0.0678,0.9371
I00699,18,15977.7475,16292.8348,15911.7475,32561.8521,32571.4002,32559.8521,16648.1046,32,0,25398.1911,32,0,5265.0923,32,0,96.0172,3.9645,0.0183,378876051,0.9205,0.9207,0.065,0.9603
I00699,19,5363.2668,5639.2113,5295.2668,10005.8571,10013.9732,10003.8571,4708.5904,33,0,6875.0236,33,0,2118.0739,33,0,94.6829,5.2932,0.0239,29757424,0.8939,0.8941,0.087,0.9469
I00699,20,4404.2233,4693.4968,4330.2233,6994.6027,7002.4209,6992.6027,2662.3794,36,0,3176.7327,36,0,1346.2778,36,0,92.7122,7.2674,0.0203,15187396,0.8544,0.8546,0.077,0.9272
I00699,21,10379.2411,10676.9618,10305.2411,14945.1662,14953.2128,14943.1662,4637.9251,36,0,4415.4015,36,0,2385.2243,36,0,88.2737,11.6718,0.0545,47671614,0.766,0.7664,0.1372,0.883
I00699,22,18234.1785,18574.9784,18160.1785,31241.3672,31250.578,31239.3672,13079.1886,36,0,14999.0458,36,0,4108.8249,36,0,93.379,6.5751,0.0459,281149866,0.868,0.8684,0.0893,0.934
I00699,23,15848.6758,16186.4243,15776.6758,26697.0173,26706.3992,26695.0173,10918.3415,35,0,18353.5291,35,0,6441.7806,35,0,92.9029,7.0778,0.0193,260854316,0.8583,0.8584,0.0582,0.9291
I00699,24,9880.3729,10191.5096,9806.3729,16078.1309,16086.54,16076.1309,6269.758,36,0,7184.3212,36,0,2904.4955,36,0,92.0396,7.9395,0.0209,67507599,0.841,0.8412,0.1033,0.9205
I00699,25,15741.4952,16044.5398,15667.4952,18829.1606,18837.351,18827.1606,3159.6655,36,0,2819.3676,36,0,1933.8381,36,0,79.2344,20.7418,0.0238,71309304,0.5849,0.5851,0.1175,0.7925
I00699,26,1311.9223,1560.9551,1239.9223,1727.9977,1734.9153,1725.9977,486.0754,35,0,766.5162,35,0,353.7868,35,0,89.3666,10.6204,0.013,1339152,0.7875,0.7876,0.0379,0.8937
I00699,27,30026.9888,30364.8707,29952.9888,35473.9747,35483.1067,35471.9747,5518.9859,36,0,5343.8883,36,0,4032.8601,36,0,79.6898,20.289,0.0212,313150698,0.594,0.5941,0.0797,0.797
I00699,28,13446.1715,13727.5569,13380.1715,16630.021,16638.5479,16628.021,3247.8495,32,0,3474.3209,32,0,2343.3351,32,0,83.0643,16.9095,0.0261,76666960,0.6615,0.6617,0.0729,0.8308
I00699,29,4525.9978,4789.1932,4451.9978,6823.5984,6830.7117,6821.5984,2369.6006,36,0,2122.7025,36,0,1101.3279,36,0,89.3592,10.6227,0.0182,8978980,0.7874,0.7875,0.1717,0.8937
I00699,30,98895.2131,99257.1945,98821.2131,115124.2135,115133.9968,115122.2135,16301.0004,36,0,13610.9119,36,0,9595.7299,36,0,75.1485,24.7868,0.0647,2305021806,0.5036,0.5039,0.1352,0.7518
I00699,31,22050.4268,22376.4144,21976.4268,37936.1466,37944.9571,37934.1466,15957.7198,36,0,15240.1763,36,0,6101.2861,36,0,91.8005,8.1766,0.0229,274200612,0.8362,0.8364,0.1869,0.9181
